Year,Aggregate Category,Order,Request,initial relative ranking,notes,Source,Status,Expected Delivery Date,Progress,Council Priority,SSC priority,Project,Feasibility,Feasibility Score SOELeads,Progress-detailed,Memo Order,Products/ things to work on,New Data opportunities
2021,System level thresholds/ref pts,1.00,"Compare EOF (Link) thresholds to empirical thresholds (Large, Tam) ",,,MAFMC SSC - https://docs.google.com/document/d/1u-JQPpceJGzz2jddx2ssHJLlgMB7y0Jg5h_oO31Hx38/edit,In progress,,Analysis planning with Mid SSC,1,1,EOF,1.67,5,"Beet, Gaichas",,,
2019 - 2024,System level thresholds/ref pts,1.25,Trend Analysis / Inflection / Break points / Early warning variance,,add randomization tests?,Both Councils and SSCs,In SOE (trends),,New short term trend analysis included,1.5,1,SOEtrends,1.33,4,"Beet, Bastille",30,Determining thresholds,All datasets
2021,System level thresholds/ref pts,1.25,Optimum yield for ecosystem,,,NEFMC - https://docs.google.com/document/d/119fjByOtS75IZuqVAVocKZb-NSdzYF7oXpl4WDt9RwQ/edit,In progress,,Analysis planning with Mid SSC,1.5,1,EOF,2.00,6,Beet,,,
2021,System level thresholds/ref pts,1.50,"How does phyto size comp affect EOF indicator, if at all?",,,MAFMC - https://docs.google.com/document/d/19OkkLTt00RaQ4YWx4Mrc_4CBI9iTxKJDBkl60A_D4lU/edit ,In progress,,Analysis planning with Mid SSC,2,1,EOF,2.00,6,,,,
"2021, 2023",System level thresholds/ref pts,1.75,Sum of TAC/ Landings relative to TAC,,,MAFMC SSC - https://docs.google.com/document/d/1u-JQPpceJGzz2jddx2ssHJLlgMB7y0Jg5h_oO31Hx38/edit,"In SOE-MAFMC, In progress-NEFMC",,Seafood Production section,1.5,2,,1.33,4,,,,
"2021, 2023",System level thresholds/ref pts,2.25,"Nutrient input, Benthic Flux and POC (particulate organic carbon) to inform benthic productivity by something other than surface indicators",,,"MAFMC SSC - https://docs.google.com/document/d/1u-JQPpceJGzz2jddx2ssHJLlgMB7y0Jg5h_oO31Hx38/edit, NEFMC",In SOE ,,Benthos abuncance and distribution indices included,2.5,2,,2.00,6,,,,
2020,System level thresholds/ref pts,2.50,Reduce indicator dimensionality with multivariate statistics,,,NEFMC,In progress,,Analysis planning with Mid SSC,3,2,DEA,2.00,6,Walden and DePiper,31,,
2024,System level thresholds/ref pts,1.30,Include standardized language about uncertainty from e.g. IPCC or NCA applicable to each indicator or data input,"language high short term, simulation/variance longer term",,NEFMC SSC,Not started,,Lacking resources this year,,,,,,,,,
2024,System level thresholds/ref pts,1.1,Simulation analysis to gauge effectiveness of indicators (e.g. EOF testing),high but longer term,first task? what criteria? small to large fish,MAFMC SSC,In progress for EOF,,Analysis planning with Mid SSC,,,,,,,,,
2024,System level thresholds/ref pts,1.3,Establish more links between events and consequences (e.g. temp ranges for more species),already started,niche days,MAFMC SSC,In progress,,Temperature threshold analysis in progress,,,,,,,,,
2019,Management,1.50,Management complexity,,,MAFMC,In progress,,"Student work needs further analysis, no further work this year",1,2,,2.00,6,"in progress; student work needs further analysis, no further work in 2020",23,Complete current project ,Summer student project 2018
2021,Management,1.50,Recreational bycatch mortality as an indicator of regulatory waste,,,MAFMC SSC - https://docs.google.com/document/d/1wDBu92Z4sotWjXGpqQYwc9XoSkjndoEF/edit,Not started,,Lacking resources this year,1,2,,2.00,6,,,,
2020,Management,2.50,Re-evaluate EPUs,,Determine thresholds for re-evaluation. ,NEFMC,Not started,,Lacking resources this year,3,2,,2.67,8,unable to start in 2020,33,,
2024,Management,1.25,Consider including additional indicators for risk policy/risk assessment processes,highest in management,"plan in September, need feedback on indicators to be used",NEFMC SSC,In progress,,Indicators added to MAFMC EAFM risk assessment,,,,,,,,,
2022,Short term forecasts,1.50,Using phytoplankton trends to forecast fish stocks,,,MAFMC,Not started,,Lacking resources this year,2,1,,1.67,5,,,,
