Year,Working group,Report Section,Priority,Request,Source,Progress,Memo Order,Products/ things to work on,New Data opportunities,Notes,Actions
2019,,2-3 pager,,Report card and summary visualizations,Both Councils,SOE new report card table and summary visualizaitions of synthesis themes,1,,,,
2020,Methods/Thresholds,Fish and invertabrates,,"Ecosystem Overfishing indicators (Link and Watson, 2019)",Both Councils,SOE two ecosystem overfishing indicators included,2,Total catch is not straightforward,,,
2020,Human dimension ,Social link to Environment,,"Primary production required, interpretation of decline?",Both Councils,SOE indicator reworked along with Link and Watson metrics,3,,,Mike and Andy's work. Comments/future work - https://github.com/andybeet/indexPPR/blob/master/vignettes/futureWork.knit.md,
2020,LTL/Climate/Habitat,All,,Climate Change context,NEFMC,SOE reorganized; Risks section added emphasizing climate change,4,,,,
2020,Comms,All,1,"Clarify language (e.g., primary production required)",Both Councils,SOE edited by Research Communications Branch; glossary included,5,Plain language glossary,,primary production required / engagement,
2020,Comms,All,1,Copy Editing,Both Councils,SOE edited by Research Communications Branch,6,,,Include RCB in developement,
2020,LTL/Climate/Habitat,Habitat Quality and Ecosystem Productivity,,Ocean Acidification,NEFMC,SOE indicator added with in-situ data linked to preliminary lab work on thresholds,7,,,,
2020,Human Dimensions,Engagement,,Include examples of High/Low engaged ports,NEFMC,SOE indicator reworked to show individual ports and social vulnerability,8,,,,
2020,Human dimensions,Social link to habitat,,Expand wind lease area and habitat overlap ,MAFMC,SOE indicator expanded to rank species with habitat in wind lease areas by landings in wind lease areas,9,,VTR,"apply in fishery context, MARCO products, include ESA spp 
We should get Cooperative Research involved.  Andy Jones has a new position in CRB and would be good to add to the SOE team.",
2020,LTL/Climate/Habitat,Habitat Quality and Ecosystem Productivity,,Expand cold pool index,MAFMC,SOE indicator expanded with modeled data to include area and other attributes,10,,,"timing of formation/descruction and stratification
We do not have the necessary data to look at the seasonal timing.  We would need modeled data for this.",
2020,Megafauna,Fish and Invertabrates,,Seperate Bigelow/Albatross catch diversity metric,MAFMC,SOE indicator added ,11,,,,
2020,Megafauna,Protected Species,,Shark abundance and catch indicators,MAFMC,SOE multiple shark indicators added,12,,VIMS longline,,
2020,Methods,All,,Uncertainty estimates,MAFMC,SOE included for subset of indicators,13,,,,
2020,Megafauna,Protected Species,,Bycatch index,NEFMC,"SOE added seal bycatch indicator, retained harbor porpoise indicator",14,,,,
2019,Megafauna,Protected Species,3,Marine Mammal consumption,MAFMC,"SOE added discussion of seal diets, memo no new consumption ests since Smith et al but could be in the future once work is complete",15,,Herring Assessment,"possibly came from 2012 herring assessment, ask Laurel",
