Index,Year,Working group,"""New"" subgroup",Report Section,Aggregate,Project,Council Priority,SSC priority,Order,Feasibility,Feasibility Score SOELeads,Request,Source,Status,Progress,Progress-detailed,Memo Order,Products/ things to work on,New Data opportunities,Notes,Actions
33,2021,Methods/Thresholds,,,System level thresholds/ref pts,EOF,1,1,1.00,1.67,5,"Compare EOF (Link) thresholds to empirical thresholds (Large, Tam) ",MAFMC SSC - https://docs.google.com/document/d/1u-JQPpceJGzz2jddx2ssHJLlgMB7y0Jg5h_oO31Hx38/edit,In progress,Analysis planning with Mid SSC,"Beet, Gaichas",,,,,
7,2019 - 2023,Methods/Thresholds,,All,System level thresholds/ref pts,SOEtrends,1.5,1,1.25,1.33,4,Trend Analysis / Inflection / Break points,Both Councils and SSCs,In progress,Prototype analysis 2022-2023,"Beet, Bastille",30,Determining thresholds,All datasets,,
37,2021,Methods/Thresholds,,,System level thresholds/ref pts,EOF,1.5,1,1.25,2.00,6,Optimum yield for ecosystem,NEFMC - https://docs.google.com/document/d/119fjByOtS75IZuqVAVocKZb-NSdzYF7oXpl4WDt9RwQ/edit,In progress,Analysis planning with Mid SSC,Beet,,,,,
10,2020,Human Dimension,,Social link to Environment,Management,,1,2,1.50,1.33,4,Incorporate social sciences survey from council,NEFMC,Not started,Lacking resources this year,do we know what this is?,26,First step will be to crosswalk indicators with priority concerns expressed,,,
8,2020,All,,Social link to Environment,Multiple system drivers,Condition,2,1,1.50,1.33,4,Linking Condition ,MAFMC,In progress,Not ready for 2023,in progress; not ready for 2021,18,,,"length/weight at age, gaussian network model blue crab example, SEM",
34,2021,Methods/Thresholds,,,Regime shifts,Regimes,2,1,1.50,1.33,4,Time series analysis (Zooplankton/Forage fish) to tie into regime shifts,MAFMC SSC - https://docs.google.com/document/d/1u-JQPpceJGzz2jddx2ssHJLlgMB7y0Jg5h_oO31Hx38/edit,In progress,Individual projects started,Regimes group,,,,,
4,2019,Megafauna,,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,Multiple system drivers,Condition,2,1,1.50,1.67,5,Avg weight of diet components by feeding group,Internal,In progress,Part of fish condition project,in progress; part of fish condition,19,Food habits summaries,Bigelow + NEAMAP + longline + seabirds?,"If jellies show up as fluctuating, could be a place to link abundance time series in",
36,2021,Methods/Thresholds,,,Regime shifts,"Regimes, DEA",2,1,1.50,1.67,5,Regime shifts in Social-Economic indicators,NEFMC SSC - https://docs.google.com/document/d/1jc8mpBWZSu3RUBUBdXytFzEOsJsMn9A1yBdfjFIW1FU/edit,In progress,Analysis planning with Mid SSC,The National IEA HDWG is working on regime shifts in social indicators. We have a special issue call open for Marine Policy: https://www.journals.elsevier.com/marine-policy/call-for-papers/special-issue-call-for-papers-assessing-social-change-and-ranking-outcomes-in-support-of-ecosystem-based-management-regime-shifts-nonlinearities-and-ecosystem-status We'll have one for the Northeast (the work John and I presented at the SOE synthesis meeting) and a cross regional manuscript.,,,,,
46,2022,LTL/megafauna,,,Short term forecasts,,2,1,1.50,1.67,5,Using phytoplankton trends to forecast fish stocks,MAFMC,Not started,Lacking resources this year,,,,,,
48,2022,LTL,,,Short term forecasts,,2,1,1.50,1.67,5,"Short term forecasting (water temp, productivity)",NEFMC,Not started,Lacking resources this year,,,,,,
